日期,平均温度
"	2019-01-01",-4.5
"	2019-01-02",-4
"	2019-01-03",-2.5
"	2019-01-04",-2.5
"	2019-01-05",-4
"	2019-01-06",-2
"	2019-01-07",-2.5
"	2019-01-08",-4.5
"	2019-01-09",-3
"	2019-01-10",-1.5
"	2019-01-11",-1
"	2019-01-12",0.5
"	2019-01-13",-0.5
"	2019-01-14",-1
"	2019-01-15",-6
"	2019-01-16",-3
"	2019-01-17",-2
"	2019-01-18",0
"	2019-01-19",-1.5
"	2019-01-20",-1
"	2019-01-21",2
"	2019-01-22",3.5
"	2019-01-23",1
"	2019-01-24",0
"	2019-01-25",-0.5
"	2019-01-26",0
"	2019-01-27",1.5
"	2019-01-28",1
"	2019-01-29",1.5
"	2019-01-30",-1
"	2019-01-31",-3
"	2019-02-01",0.5
"	2019-02-02",-0.5
"	2019-02-03",0.5
"	2019-02-04",-1
"	2019-02-05",0
"	2019-02-06",-2.5
"	2019-02-07",-4.5
"	2019-02-08",-4
"	2019-02-09",-4
"	2019-02-10",-4
"	2019-02-11",-1.5
"	2019-02-12",-5.5
"	2019-02-13",-2.5
"	2019-02-14",-4.5
"	2019-02-15",-2.5
"	2019-02-16",-1.5
"	2019-02-17",0.5
"	2019-02-18",0.5
"	2019-02-19",1.5
"	2019-02-20",2.5
"	2019-02-21",4.5
"	2019-02-22",4.5
"	2019-02-23",5
"	2019-02-24",6
"	2019-02-25",4
"	2019-02-26",4
"	2019-02-27",5
"	2019-02-28",6.5
"	2019-03-01",8
"	2019-03-02",9
"	2019-03-03",8.5
"	2019-03-04",9
"	2019-03-05",10.5
"	2019-03-06",4.5
"	2019-03-07",6
"	2019-03-08",8
"	2019-03-09",7
"	2019-03-10",7.5
"	2019-03-11",8.5
"	2019-03-12",6.5
"	2019-03-13",9
"	2019-03-14",9.5
"	2019-03-15",6.5
"	2019-03-16",10.5
"	2019-03-17",12
"	2019-03-18",13.5
"	2019-03-19",18
"	2019-03-20",11.5
"	2019-03-21",6.5
"	2019-03-22",9
"	2019-03-23",7
"	2019-03-24",11.5
"	2019-03-25",13.5
"	2019-03-26",11.5
"	2019-03-27",12.5
"	2019-03-28",6.5
"	2019-03-29",8.5
"	2019-03-30",7
"	2019-03-31",9
"	2019-04-01",10
"	2019-04-02",11
"	2019-04-03",13.5
"	2019-04-04",18.5
"	2019-04-05",14.5
"	2019-04-06",13
"	2019-04-07",13
"	2019-04-08",10.5
"	2019-04-09",5.5
"	2019-04-10",13.5
"	2019-04-11",12.5
"	2019-04-12",15.5
"	2019-04-13",15
"	2019-04-14",15.5
"	2019-04-15",18.5
"	2019-04-16",19
"	2019-04-17",22
"	2019-04-18",17
"	2019-04-19",13.5
"	2019-04-20",11.5
"	2019-04-21",15
"	2019-04-22",20.5
"	2019-04-23",21.5
"	2019-04-24",14
"	2019-04-25",13
"	2019-04-26",15.5
"	2019-04-27",11
"	2019-04-28",14
"	2019-04-29",18
"	2019-04-30",18.5
"	2019-05-01",18.5
"	2019-05-02",21.5
"	2019-05-03",22
"	2019-05-04",20.5
"	2019-05-05",16.5
"	2019-05-06",17.5
"	2019-05-07",21
"	2019-05-08",19
"	2019-05-09",22
"	2019-05-10",22
"	2019-05-11",21.5
"	2019-05-12",19
"	2019-05-13",19
"	2019-05-14",23
"	2019-05-15",22
"	2019-05-16",24.5
"	2019-05-17",26.5
"	2019-05-18",23.5
"	2019-05-19",20.5
"	2019-05-20",19.5
"	2019-05-21",22.5
"	2019-05-22",26.5
"	2019-05-23",29
"	2019-05-24",28
"	2019-05-25",27.5
"	2019-05-26",20.5
"	2019-05-27",22
"	2019-05-28",24.5
"	2019-05-29",27.5
"	2019-05-30",22.5
"	2019-05-31",24.5
"	2019-06-01",24
"	2019-06-02",25.5
"	2019-06-03",27
"	2019-06-04",23.5
"	2019-06-05",25
"	2019-06-06",22
"	2019-06-07",26
"	2019-06-08",27
"	2019-06-09",24.5
"	2019-06-10",25.5
"	2019-06-11",26
"	2019-06-12",27.5
"	2019-06-13",24.5
"	2019-06-14",27.5
"	2019-06-15",25.5
"	2019-06-16",21.5
"	2019-06-17",24.5
"	2019-06-18",27.5
"	2019-06-19",27.5
"	2019-06-20",29.5
"	2019-06-21",26.5
"	2019-06-22",28
"	2019-06-23",29
"	2019-06-24",30
"	2019-06-25",30
"	2019-06-26",28.5
"	2019-06-27",28
"	2019-06-28",27
"	2019-06-29",29
"	2019-06-30",26.5
"	2019-07-01",29
"	2019-07-02",29
"	2019-07-03",30
"	2019-07-04",31.5
"	2019-07-05",27.5
"	2019-07-06",23.5
"	2019-07-07",24
"	2019-07-08",26
"	2019-07-09",25
"	2019-07-10",23.5
"	2019-07-11",25
"	2019-07-12",27.5
"	2019-07-13",28
"	2019-07-14",28
"	2019-07-15",29.5
"	2019-07-16",28.5
"	2019-07-17",26.5
"	2019-07-18",28
"	2019-07-19",29
"	2019-07-20",27
"	2019-07-21",31.5
"	2019-07-22",30
"	2019-07-23",29.5
"	2019-07-24",31.5
"	2019-07-25",30.5
"	2019-07-26",32
"	2019-07-27",31.5
"	2019-07-28",30.5
"	2019-07-29",26
"	2019-07-30",29
"	2019-07-31",29.5
"	2019-08-01",28
"	2019-08-02",27
"	2019-08-03",27.5
"	2019-08-04",26
"	2019-08-05",26
"	2019-08-06",27
"	2019-08-07",26
"	2019-08-08",28.5
"	2019-08-09",26.5
"	2019-08-10",26
"	2019-08-11",26
"	2019-08-12",26.5
"	2019-08-13",26.5
"	2019-08-14",26.5
"	2019-08-15",27
"	2019-08-16",26.5
"	2019-08-17",25
"	2019-08-18",26
"	2019-08-19",26.5
"	2019-08-20",23
"	2019-08-21",26
"	2019-08-22",26
"	2019-08-23",24.5
"	2019-08-24",24
"	2019-08-25",25
"	2019-08-26",24
"	2019-08-27",26.5
"	2019-08-28",25.5
"	2019-08-29",25
"	2019-08-30",24
"	2019-08-31",25
"	2019-09-01",26
"	2019-09-02",27
"	2019-09-03",26.5
"	2019-09-04",25.5
"	2019-09-05",26.5
"	2019-09-06",26.5
"	2019-09-07",27.5
"	2019-09-08",28.5
"	2019-09-09",26.5
"	2019-09-10",21.5
"	2019-09-11",21
"	2019-09-12",21.5
"	2019-09-13",22
"	2019-09-14",23
