日期,平均温度
"	2017-01-01",1
"	2017-01-02",0.5
"	2017-01-03",0
"	2017-01-04",0.5
"	2017-01-05",-1
"	2017-01-06",1
"	2017-01-07",-0.5
"	2017-01-08",0.5
"	2017-01-09",-1
"	2017-01-10",-1
"	2017-01-11",0
"	2017-01-12",0.5
"	2017-01-13",-1.5
"	2017-01-14",-2
"	2017-01-15",-2.5
"	2017-01-16",-2
"	2017-01-17",-0.5
"	2017-01-18",-1
"	2017-01-19",-3.5
"	2017-01-20",-3.5
"	2017-01-21",-4
"	2017-01-22",-5
"	2017-01-23",-3.5
"	2017-01-24",-1.5
"	2017-01-25",0.5
"	2017-01-26",1
"	2017-01-27",0
"	2017-01-28",0
"	2017-01-29",-3.5
"	2017-01-30",-2
"	2017-01-31",0.5
"	2017-02-01",-1.5
"	2017-02-02",0
"	2017-02-03",1.5
"	2017-02-04",3.5
"	2017-02-05",2
"	2017-02-06",-0.5
"	2017-02-07",-1.5
"	2017-02-08",-1.5
"	2017-02-09",-1
"	2017-02-10",-1
"	2017-02-11",1
"	2017-02-12",3
"	2017-02-13",3
"	2017-02-14",2.5
"	2017-02-15",4.5
"	2017-02-16",1.5
"	2017-02-17",0.5
"	2017-02-18",3.5
"	2017-02-19",6.5
"	2017-02-20",2
"	2017-02-21",-1
"	2017-02-22",3
"	2017-02-23",1.5
"	2017-02-24",5
"	2017-02-25",5.5
"	2017-02-26",5.5
"	2017-02-27",8
"	2017-02-28",8.5
"	2017-03-01",2.5
"	2017-03-02",5.5
"	2017-03-03",5.5
"	2017-03-04",6.5
"	2017-03-05",4.5
"	2017-03-06",3
"	2017-03-07",4
"	2017-03-08",7.5
"	2017-03-09",8.5
"	2017-03-10",10
"	2017-03-11",12
"	2017-03-12",7
"	2017-03-13",8
"	2017-03-14",9
"	2017-03-15",9.5
"	2017-03-16",11.5
"	2017-03-17",11
"	2017-03-18",12.5
"	2017-03-19",13
"	2017-03-20",9
"	2017-03-21",9.5
"	2017-03-22",11
"	2017-03-23",5
"	2017-03-24",3
"	2017-03-25",8.5
"	2017-03-26",9.5
"	2017-03-27",10
"	2017-03-28",10
"	2017-03-29",13.5
"	2017-03-30",10
"	2017-03-31",11
"	2017-04-01",13.5
"	2017-04-02",14.5
"	2017-04-03",18.5
"	2017-04-04",16
"	2017-04-05",14
"	2017-04-06",17.5
"	2017-04-07",17
"	2017-04-08",12.5
"	2017-04-09",13.5
"	2017-04-10",14.5
"	2017-04-11",14.5
"	2017-04-12",17
"	2017-04-13",14.5
"	2017-04-14",18.5
"	2017-04-15",21.5
"	2017-04-16",20.5
"	2017-04-17",19.5
"	2017-04-18",17
"	2017-04-19",15.5
"	2017-04-20",16.5
"	2017-04-21",15.5
"	2017-04-22",20
"	2017-04-23",17.5
"	2017-04-24",17
"	2017-04-25",13.5
"	2017-04-26",17.5
"	2017-04-27",20.5
"	2017-04-28",22
"	2017-04-29",25
"	2017-04-30",21
"	2017-05-01",20
"	2017-05-02",23
"	2017-05-03",22
"	2017-05-04",20.5
"	2017-05-05",16
"	2017-05-06",20.5
"	2017-05-07",22.5
"	2017-05-08",23.5
"	2017-05-09",22
"	2017-05-10",22
"	2017-05-11",22
"	2017-05-12",22
"	2017-05-13",21.5
"	2017-05-14",20.5
"	2017-05-15",21.5
"	2017-05-16",24.5
"	2017-05-17",26.5
"	2017-05-18",28
"	2017-05-19",29
"	2017-05-20",27
"	2017-05-21",24.5
"	2017-05-22",18.5
"	2017-05-23",21
"	2017-05-24",25
"	2017-05-25",23
"	2017-05-26",24
"	2017-05-27",27.5
"	2017-05-28",29
"	2017-05-29",22.5
"	2017-05-30",21
"	2017-05-31",26
"	2017-06-01",23.5
"	2017-06-02",19
"	2017-06-03",22
"	2017-06-04",25
"	2017-06-05",21.5
"	2017-06-06",17
"	2017-06-07",24.5
"	2017-06-08",27
"	2017-06-09",29
"	2017-06-10",23.5
"	2017-06-11",24.5
"	2017-06-12",22.5
"	2017-06-13",23
"	2017-06-14",28
"	2017-06-15",31
"	2017-06-16",30
"	2017-06-17",30
"	2017-06-18",28.5
"	2017-06-19",26
"	2017-06-20",28
"	2017-06-21",27
"	2017-06-22",21.5
"	2017-06-23",21.5
"	2017-06-24",21.5
