日期,平均温度
"	2021-01-01",-5
"	2021-01-02",-4.5
"	2021-01-03",-4.5
"	2021-01-04",-5.5
"	2021-01-05",-6.5
"	2021-01-06",-9.5
"	2021-01-07",-10.5
"	2021-01-08",-6
"	2021-01-09",-3.5
"	2021-01-10",-3
"	2021-01-11",-3
"	2021-01-12",-1
"	2021-01-13",1
"	2021-01-14",-1
"	2021-01-15",-2.5
"	2021-01-16",-4
"	2021-01-17",-2
"	2021-01-18",-1
"	2021-01-19",-5.5
"	2021-01-20",-2
"	2021-01-21",0
"	2021-01-22",-1
"	2021-01-23",-1.5
"	2021-01-24",0
"	2021-01-25",-2.5
"	2021-01-26",-0.5
"	2021-01-27",-1.5
"	2021-01-28",-5
"	2021-01-29",-4
"	2021-01-30",0
"	2021-01-31",-2.5
"	2021-02-01",-4
"	2021-02-02",-4
"	2021-02-03",0.5
"	2021-02-04",2.5
"	2021-02-05",6.5
"	2021-02-06",6.5
"	2021-02-07",1
"	2021-02-08",1
"	2021-02-09",3.5
"	2021-02-10",6
"	2021-02-11",5
"	2021-02-12",6.5
"	2021-02-13",4.5
"	2021-02-14",-0.5
"	2021-02-15",0.5
"	2021-02-16",-3.5
"	2021-02-17",-2
"	2021-02-18",1
"	2021-02-19",7
"	2021-02-20",11.5
"	2021-02-21",14.5
"	2021-02-22",6
"	2021-02-23",0
"	2021-02-24",1
"	2021-02-25",2.5
"	2021-02-26",4
"	2021-02-27",6
"	2021-02-28",2.5
"	2021-03-01",-0.5
"	2021-03-02",1
"	2021-03-03",4
"	2021-03-04",6.5
"	2021-03-05",3.5
"	2021-03-06",-0.5
"	2021-03-07",3
"	2021-03-08",5.5
"	2021-03-09",9
"	2021-03-10",12
"	2021-03-11",12
"	2021-03-12",8
"	2021-03-13",11
"	2021-03-14",11
"	2021-03-15",7
"	2021-03-16",9
"	2021-03-17",9.5
"	2021-03-18",5.5
"	2021-03-19",7.5
"	2021-03-20",8
"	2021-03-21",6.5
"	2021-03-22",12
"	2021-03-23",15.5
"	2021-03-24",13.5
"	2021-03-25",16
"	2021-03-26",12
"	2021-03-27",14
"	2021-03-28",13
"	2021-03-29",12.5
"	2021-03-30",15
"	2021-03-31",17
"	2021-04-01",15
"	2021-04-02",13
"	2021-04-03",12.5
"	2021-04-04",13
"	2021-04-05",13
"	2021-04-06",15.5
"	2021-04-07",12
"	2021-04-08",13.5
"	2021-04-09",12
"	2021-04-10",16
"	2021-04-11",14.5
"	2021-04-12",12
"	2021-04-13",10.5
"	2021-04-14",16
"	2021-04-15",14.5
"	2021-04-16",13
"	2021-04-17",12.5
"	2021-04-18",17.5
"	2021-04-19",21
"	2021-04-20",19.5
"	2021-04-21",16.5
"	2021-04-22",12.5
"	2021-04-23",16.5
"	2021-04-24",15.5
"	2021-04-25",15
"	2021-04-26",15
"	2021-04-27",16.5
"	2021-04-28",16
"	2021-04-29",13
"	2021-04-30",10
"	2021-05-01",13.5
"	2021-05-02",17
"	2021-05-03",18.5
"	2021-05-04",16.5
"	2021-05-05",21.5
"	2021-05-06",16.5
"	2021-05-07",21
"	2021-05-08",19
"	2021-05-09",19.5
"	2021-05-10",18
"	2021-05-11",18.5
"	2021-05-12",20.5
"	2021-05-13",19.5
"	2021-05-14",20.5
"	2021-05-15",17
"	2021-05-16",19.5
"	2021-05-17",23
"	2021-05-18",25.5
"	2021-05-19",24.5
"	2021-05-20",22
"	2021-05-21",25
"	2021-05-22",24
