bookname,author,year,score,population,url,comment
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,2012,9.0,294299,https://book.douban.com/subject/10594787/,
棋王·树王·孩子王,阿城,2016,9.3,31025,https://book.douban.com/subject/26734559/,
消失的13级台阶,[日] 高野和明,2020,8.6,105547,https://book.douban.com/subject/34996429/,
雅各布之书,奥尔加·托卡尔丘克,2024,9.5,61,https://book.douban.com/subject/36848782/,
罗杰疑案,[英] 阿加莎·克里斯蒂,2013,9.2,81824,https://book.douban.com/subject/21371175/,
我们八月见,[哥伦比亚]加西亚·马尔克斯,2024,7.7,11956,https://book.douban.com/subject/36754770/,
你的夏天还好吗？,[韩国] 金爱烂,2022,8.7,21953,https://book.douban.com/subject/36109174/,
解忧杂货店,[日] 东野圭吾,2014,8.5,767418,https://book.douban.com/subject/25862578/,
失控的照护,[日] 叶真中显,2024,8.1,1107,https://book.douban.com/subject/36962267/,
动物农场,[英]乔治·奥威尔,2010,9.5,63472,https://book.douban.com/subject/4908879/,
嫌疑人X的献身,[日] 东野圭吾,2008,8.9,533591,https://book.douban.com/subject/3211779/,
如果我们将在25岁死去,[日] 砂川雨路,2024,7.9,396,https://book.douban.com/subject/37013827/,
她对此感到厌烦,妚鹤,2023,9.0,18952,https://book.douban.com/subject/36392723/,
命运,蔡崇达,2022,8.9,31157,https://book.douban.com/subject/36084340/,
死神广播,[日] 白井智之,2024,8.0,648,https://book.douban.com/subject/36953534/,
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,2013,8.7,55986,https://book.douban.com/subject/24382569/,
沧浪之水,阎真,2001,8.4,34847,https://book.douban.com/subject/1054917/,
草民,蔡崇达,2024,8.2,5195,https://book.douban.com/subject/36897370/,
象棋的故事,[奥]斯蒂芬·茨威格,2024,8.9,1249,https://book.douban.com/subject/36872349/,
西线无战事,[德] 埃里希·玛丽亚·雷马克,2021,9.4,23519,https://book.douban.com/subject/35272817/,
外面是夏天,[韩]金爱烂,2022,8.7,8049,https://book.douban.com/subject/36109193/,
恶意,[日] 东野圭吾,2016,8.7,140557,https://book.douban.com/subject/26877752/,
Blue,[日] 叶真中显,2021,7.8,13344,https://book.douban.com/subject/35503551/,
金色梦乡,[日] 伊坂幸太郎,2016,8.8,58934,https://book.douban.com/subject/26864984/,
82年生的金智英,[韩]赵南柱,2019,8.1,93526,https://book.douban.com/subject/34434309/,
哈利·波特与魔法石,[英] J. K. 罗琳,2000,9.1,191852,https://book.douban.com/subject/1041007/,
事件,[法] 安妮·埃尔诺,2024,9.3,238,https://book.douban.com/subject/36692820/,
佩德罗·巴拉莫,[墨西哥] 胡安·鲁尔福,2021,9.0,8900,https://book.douban.com/subject/35221700/,
一日三秋,刘震云,2021,8.4,22242,https://book.douban.com/subject/35496106/,
德米安,[德] 赫尔曼·黑塞,2020,8.9,15244,https://book.douban.com/subject/35060088/,
美丽新世界,【英】奥尔德斯·赫胥黎,2017,9.1,62261,https://book.douban.com/subject/27002046/,
你当像鸟飞往你的山,塔拉·韦斯特弗,2019,8.7,200827,https://book.douban.com/subject/33440205/,
酒吧长谈,[秘鲁] 马里奥·巴尔加斯·略萨,2021,9.4,5750,https://book.douban.com/subject/34933180/,
三体Ⅲ,刘慈欣,2010,9.2,287454,https://book.douban.com/subject/5363767/,
鼠疫,[法] 阿尔贝·加缪,2013,9.1,84627,https://book.douban.com/subject/24257229/,
克拉拉与太阳,[英] 石黑一雄,2021,8.2,52977,https://book.douban.com/subject/35315153/,
团圆记,杨云苏,2024,8.7,1020,https://book.douban.com/subject/36956148/,
大医·日出篇,马伯庸,2022,8.8,11761,https://book.douban.com/subject/36155568/,
边水往事,沈星星,2024,7.1,6337,https://book.douban.com/subject/36865034/,
灿烂千阳,[美] 卡勒德·胡赛尼,2007,8.9,125680,https://book.douban.com/subject/2143732/,
七个证人,[日] 西村京太郎,2024,7.3,3320,https://book.douban.com/subject/36826819/,
平凡的世界,路遥,2012,9.0,81145,https://book.douban.com/subject/10517238/,
清明上河图密码,北京联合出版公司,2015,8.2,19114,https://book.douban.com/subject/26265745/,
无条件投降博物馆,[荷]杜布拉夫卡·乌格雷西奇,2024,9.0,1565,https://book.douban.com/subject/36668331/,
树上的男爵,[意大利]伊塔洛·卡尔维诺,2012,9.1,64119,https://book.douban.com/subject/6789605/,
1984,[英] 乔治·奥威尔,2010,9.4,293897,https://book.douban.com/subject/4820710/,
三体Ⅱ,刘慈欣,2008,9.3,307199,https://book.douban.com/subject/3066477/,
长安十二时辰 上,马伯庸,2017,8.3,57556,https://book.douban.com/subject/26899537/,
远山淡影,[英] 石黑一雄,2011,8.2,41423,https://book.douban.com/subject/5988624/,
局外人,[法] 阿尔贝·加缪,2013,9.2,69142,https://book.douban.com/subject/24257486/,
围城,钱锺书,1991,9.3,106687,https://book.douban.com/subject/11524204/,
愤怒的葡萄,[美]约翰·斯坦贝克,2019,9.1,11513,https://book.douban.com/subject/33395266/,
正常故事,颜怡、颜悦,2024,7.3,476,https://book.douban.com/subject/37032993/,
长日将尽,[英] 石黑一雄,2018,8.9,39814,https://book.douban.com/subject/30142261/,
南大命案追凶,陈勇,2024,3.3,422,https://book.douban.com/subject/36909381/,
长安十二时辰 下,马伯庸,2017,7.7,35193,https://book.douban.com/subject/26899538/,
水浒传（全二册）,[明] 施耐庵、罗贯中,1997,8.7,80431,https://book.douban.com/subject/1008357/,
了不起的盖茨比,[美] 斯科特·菲茨杰拉德,2012,8.7,57561,https://book.douban.com/subject/10738023/,
面纱,(英)W.萨默塞特·毛姆,2012,8.8,84173,https://book.douban.com/subject/10560798/,
球状闪电,刘慈欣,2005,8.7,91262,https://book.douban.com/subject/1192090/,
局外人,[法] 阿尔贝·加缪,2010,9.1,249977,https://book.douban.com/subject/4908885/,
我不是废柴,纪静蓉,2021,7.9,1375,https://book.douban.com/subject/35562153/,
老派约会之必要,李维菁,2024,7.7,494,https://book.douban.com/subject/37053969/,
