bookname,author,year,score,population,url,comment
龙与地下铁,马伯庸,2024,7.2,2686,https://book.douban.com/subject/36657407/,
一地鸡毛,刘震云,2022,8.7,2784,https://book.douban.com/subject/36061380/,
桶川跟踪狂杀人事件,[日] 清水洁,2021,9.0,52388,https://book.douban.com/subject/35094680/,
河边的错误,余华,2024,7.5,889,https://book.douban.com/subject/36727284/,
鹿隐之野,押沙龙,2024,8.1,926,https://book.douban.com/subject/36862604/,
亡狮,[英] 米克·赫伦,2024,8.3,322,https://book.douban.com/subject/36858242/,
岛上书店,[美] 加布瑞埃拉·泽文,2015,7.6,144399,https://book.douban.com/subject/26340138/,
当她化身为龙,[美] 凯莉·巴恩希尔,2024,8.9,87,https://book.douban.com/subject/36910759/,
安娜·卡列尼娜,[俄] 列夫·托尔斯泰,2007,9.2,31768,https://book.douban.com/subject/2253380/,
未来学大会,[波] 斯坦尼斯瓦夫·莱姆,2021,9.0,12693,https://book.douban.com/subject/35330057/,
无人生还,[英] 阿加莎・克里斯蒂,2008,9.0,155754,https://book.douban.com/subject/3006581/,
把空气冲破一下,高临阳,2024,8.1,144,https://book.douban.com/subject/36800187/,
次要人物,黎幺,2024,8.9,71,https://book.douban.com/subject/37052490/,
短暂的生命,[乌拉圭] 胡安·卡洛斯·奥内蒂,2024,8.6,20,https://book.douban.com/subject/36973915/,
伊甸之东,[美]约翰·斯坦贝克,2024,9.2,785,https://book.douban.com/subject/36710568/,
秘密,[日] 东野圭吾,2017,8.0,31413,https://book.douban.com/subject/27115970/,
阿西莫夫科幻短篇全集 1,[美] 艾萨克·阿西莫夫,2023,9.0,821,https://book.douban.com/subject/36480385/,
2181序曲,顾适,2024,8.8,417,https://book.douban.com/subject/36953532/,
最后的情人,残雪,2024,9.0,96,https://book.douban.com/subject/37055195/,
废墟里的向日葵,夜的第七梦,2024,9.4,119,https://book.douban.com/subject/36999238/,
火边的艾丽丝,[挪威] 雍·福瑟,2024,7.8,148,https://book.douban.com/subject/36990997/,
武则天,苏童,2024,7.3,103,https://book.douban.com/subject/37050143/,
地下偶像杀人事件,[日] 远藤骗,2024,7.1,358,https://book.douban.com/subject/36906327/,
エレファントヘッド,白井智之,2023,8.9,5579,https://book.douban.com/subject/36497658/,
笑傲江湖（全四册）,金庸,1994,9.1,113989,https://book.douban.com/subject/1002299/,
宋慈洗冤笔记 2,巫童,2023,7.8,2919,https://book.douban.com/subject/36540442/,
伊万·伊利奇之死,[俄] 列夫·托尔斯泰,2023,8.9,2614,https://book.douban.com/subject/36366027/,
红玫瑰与白玫瑰,张爱玲,2019,8.9,7751,https://book.douban.com/subject/30294358/,
人造卫星情人,[日] 村上春树,2024,8.2,213,https://book.douban.com/subject/36968596/,
豆子芝麻茶,杨本芬,2023,8.6,21367,https://book.douban.com/subject/36560856/,
被伤害与侮辱的人们,[俄] 陀思妥耶夫斯基,2015,9.3,9339,https://book.douban.com/subject/25887930/,
倾城之恋,张爱玲,2012,8.9,42038,https://book.douban.com/subject/10757940/,
涅朵奇卡,陀思妥耶夫斯基,2023,8.7,10820,https://book.douban.com/subject/36504167/,
天幕红尘,豆豆,2013,8.3,11278,https://book.douban.com/subject/24748615/,
强风吹拂,三浦紫苑,2015,9.0,30016,https://book.douban.com/subject/26210487/,
情书,[日] 岩井俊二,2004,8.6,109442,https://book.douban.com/subject/1080370/,
你一生的故事,[美] 特德·姜,2015,8.7,37796,https://book.douban.com/subject/26295448/,
罪与罚,[俄] 陀思妥耶夫斯基,2015,9.5,16086,https://book.douban.com/subject/25887912/,
醉步男,[日] 小林泰三,2019,8.4,29572,https://book.douban.com/subject/30359030/,
老妓抄,冈本加乃子,2022,8.5,11013,https://book.douban.com/subject/35710421/,
离婚,老舍,2019,9.2,7273,https://book.douban.com/subject/34808043/,
夜幕之下,三九音域,2023,7.9,1443,https://book.douban.com/subject/36447334/,
台北人,白先勇,2010,9.0,77179,https://book.douban.com/subject/5337248/,
生死结,尹学芸,2024,7.9,1118,https://book.douban.com/subject/36796806/,
诅咒兔,[韩] 郑宝拉,2022,7.2,2610,https://book.douban.com/subject/36062802/,
