Lag Order,AIC
1,-1.3679402315450664
2,-1.6212373944478249
3,-1.7658008387012782
4,-2.000735164470316
5,-1.9619535608363954
6,-2.330338652482907
7,-2.5923313523471254
8,-3.3172619764582
9,-4.804763125958628
