Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.559229,8244.04566,10056.26139,11507.21715,12187.53636,13233.99052,13892.60514,14700.95981,16055.28779,16548.71739,16620.95456,17750.00956,18828.08706,19216.19724,20681.02303,20740.13258,21307.24825,21949.486,23700.63199,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062
Africa Eastern and Southern,AFE,186.1324317,186.947182,197.4081053,225.4470066,209.005786,226.883067,240.9621936,243.8243673,257.1975118,281.6374129,276.7900559,294.8746679,311.5280182,389.808233,463.5631817,479.1760073,468.8698757,518.4655907,571.7367845,634.5802265,773.4617985,777.8555815,725.7490817,732.6098876,650.5823142,554.4551641,578.6206722,665.1389717,704.4865735,728.5703835,822.8176383,862.8482743,733.1783461,709.6638984,701.0415698,766.8206041,747.0697363,767.6841878,697.3526926,670.6978278,707.1203763,626.1691484,625.998815,809.9681394,981.7446305,1115.713956,1220.002468,1362.310651,1421.118612,1386.590206,1601.727748,1735.58514,1702.969258,1673.140476,1656.107642,1479.564123,1329.777824,1520.171298,1538.924188,1493.780445,1344.080962,1522.590088,1628.024526,1659.51529
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9309914,138.7068217,178.9540884,198.8711157,221.7636539,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171
Africa Western and Central,AFW,121.9383531,127.4526294,133.8254524,139.0067137,148.5477359,155.5638366,162.109362,144.9426116,146.1880063,161.9199876,218.6748681,195.8624299,230.0717734,280.6474674,368.2993182,413.3713252,480.4532519,490.8456982,523.7878506,624.8784994,757.0768725,1324.546002,1162.132846,872.831673,737.6750096,753.7997554,581.3907128,581.5238024,560.3805816,509.3267336,590.3214385,603.8789078,563.3100804,570.8886407,577.5487413,863.9505714,1065.683497,1088.996807,1137.744496,521.3647343,516.9323163,530.6531673,616.7960331,694.5009386,834.8612909,989.6997388,1222.550498,1393.748487,1652.18985,1439.047803,1647.149847,1824.722827,1920.119912,2113.316986,2204.9957,1845.767804,1616.843198,1560.162999,1703.896392,1783.654365,1664.249176,1747.840549,1777.235012,1568.72431
Angola,AGO,,,,,,,,,,,,,,,,,,,,,729.1119655,657.9826485,634.2214673,636.832811,650.4910944,772.4688326,697.5266024,770.1011401,807.4396284,907.7478931,965.8668405,881.9194881,668.7060175,449.7278949,334.9735903,404.2948185,531.1171368,521.7027251,429.1886541,392.725539,563.7337956,533.5862024,882.1478472,992.6989793,1266.210864,1916.468422,2617.05196,3141.04598,4103.0669,3136.64547,3597.342932,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867,1925.874661,2929.694455,2308.159767
Albania,ALB,,,,,,,,,,,,,,,,,,,,,590.6077384,663.2942083,668.4545042,661.5467824,639.4847302,639.8659038,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,750.6044492,1009.977111,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134
Andorra,AND,,,,,,,,,,,3935.411278,4169.695371,4940.296962,6151.02717,7139.574512,7925.415771,7721.288586,8167.922862,9409.508513,11996.40729,12474.92529,10465.26046,9697.52202,8082.09152,7808.130027,7911.984362,10539.11779,12828.15194,14599.03552,15714.92655,19563.65747,19533.26207,20099.53522,15916.83952,15748.53075,18443.25452,19130.15972,18247.99957,18536.50843,18875.28837,21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.51571,43975.01837,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
Arab World,ARB,,212.889661,210.8054136,225.8006289,243.8974306,256.1801409,263.9508393,276.9329744,307.5368009,329.4314226,357.694745,402.795035,470.195593,602.466748,1124.966817,1205.473817,1458.144006,1630.359824,1728.20571,2251.506021,2954.049196,2911.007872,2640.585786,2417.324592,2357.268909,2247.927457,2042.585585,2108.58586,2042.057616,2117.752624,2875.257142,2048.809755,1996.377564,1987.857734,2018.6858,2081.020712,2193.873309,2305.616061,2192.611888,2378.950491,2664.165796,2536.711965,2483.107234,2696.672305,3133.736877,3750.508554,4355.087622,4940.702265,6091.932064,5134.450061,5928.30479,6883.374024,7336.197708,7311.296755,7259.936729,6203.702636,5957.059837,6005.390129,6576.516631,6525.211843,5648.341118,6445.807261,7658.40647,7292.210408
United Arab Emirates,ARE,,,,,,,,,,,2394.068115,2805.426427,3675.416814,9695.814188,23822.97156,27117.18807,31196.97918,35020.36044,29379.12774,34238.28645,42925.23388,44854.48003,39972.49467,34650.00412,32012.31415,29467.54198,23132.07397,23112.62342,21569.70689,23166.73059,26709.99344,25690.96863,25648.27278,25032.78227,25472.63966,27003.20068,28323.16509,27982.7957,24889.42692,25855.8605,29865.50235,27745.17081,27753.60895,29659.54286,33376.71523,38719.31383,44342.60483,45854.73252,50054.17007,37803.06637,43696.67126,50789.05054,52034.47625,52023.5171,51381.40699,43534.99727,41326.40182,42340.59171,45689.857,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
Argentina,ARG,,,1160.306598,852.9724251,1176.200862,1281.83338,1275.078434,1063.932838,1141.952116,1329.561818,1322.714542,1372.507466,1409.370973,2097.89945,2844.969905,2026.684358,1946.919904,2126.48546,3282.063044,2511.973329,2747.502275,2764.086414,2914.767085,3537.747346,3915.034926,2905.775655,3436.078195,3477.30132,3992.703302,2374.573216,4315.333294,5709.247841,6789.996111,6931.855964,7437.562423,7357.616277,7663.212713,8146.7871,8218.992128,7705.542883,7637.014892,7141.475077,2569.699635,3320.477751,4242.020991,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273
